$ tshark -r intercept_3dcea34fd7056a4cc2c1934dd07e4d1fed0bc0683b05b24741a999d1273339da.pcapng  'usb.data_flag=="present (0)"'

$ tshark -T fields -e usb.capdata -r intercept_3dcea34fd7056a4cc2c1934dd07e4d1fed0bc0683b05b24741a999d1273339da.pcapng 'usb.capdata and usb.device_address==21 && usb.transfer_type == 0x01 && !(usb.capdata == 00:00:00:00:00:00:00:00) && (!usb.capdata == 02:00:00:00:00:00:00:00) && (!usb.capdata == 20:00:00:00:00:00:00:00)'

20:00:0a:00:00:00:00:00
00:00:0c:00:00:00:00:00
00:00:07:00:00:00:00:00
02:00:0c:00:00:00:00:00
02:00:0e:00:00:00:00:00
02:00:1c:00:00:00:00:00
02:00:2f:00:00:00:00:00
02:00:36:00:00:00:00:00
00:00:0d:00:00:00:00:00
00:00:27:00:00:00:00:00
02:00:2d:00:00:00:00:00
00:00:13:00:00:00:00:00
00:00:1e:00:00:00:00:00
20:00:19:00:00:00:00:00
00:00:20:00:00:00:00:00
02:00:33:00:00:00:00:00
02:00:2d:00:00:00:00:00
00:00:1b:00:00:00:00:00
00:00:36:00:00:00:00:00
00:00:20:00:00:00:00:00
02:00:12:00:00:00:00:00
00:00:24:00:00:00:00:00
20:00:17:00:00:00:00:00
02:00:2d:00:00:00:00:00
00:00:21:00:00:00:00:00
02:00:0f:00:00:00:00:00
02:00:17:00:00:00:00:00
00:00:36:00:00:00:00:00
00:00:21:00:00:00:00:00
00:00:17:00:00:00:00:00
00:00:22:00:00:00:00:00
02:00:30:00:00:00:00:00

# http://www.mindrunway.ru/IgorPlHex/USBKeyScan.pdfG

# Translated using Dvorak layout
20:00:0a:00:00:00:00:00 I
00:00:0c:00:00:00:00:00 c
00:00:07:00:00:00:00:00 e
02:00:0c:00:00:00:00:00 C
02:00:0e:00:00:00:00:00 T
02:00:1c:00:00:00:00:00 F
02:00:2f:00:00:00:00:00 {
02:00:36:00:00:00:00:00 W
00:00:0d:00:00:00:00:00 h
00:00:27:00:00:00:00:00 0
02:00:2d:00:00:00:00:00 _
00:00:13:00:00:00:00:00 l
00:00:1e:00:00:00:00:00 1
20:00:19:00:00:00:00:00 K
00:00:20:00:00:00:00:00 3
02:00:33:00:00:00:00:00 S
02:00:2d:00:00:00:00:00 _
00:00:1b:00:00:00:00:00 q
00:00:36:00:00:00:00:00 w
00:00:20:00:00:00:00:00 3
02:00:12:00:00:00:00:00 R
00:00:24:00:00:00:00:00 7
20:00:17:00:00:00:00:00 Y
02:00:2d:00:00:00:00:00 _
00:00:21:00:00:00:00:00 4
02:00:0f:00:00:00:00:00 N
02:00:17:00:00:00:00:00 Y
00:00:36:00:00:00:00:00 w
00:00:21:00:00:00:00:00 4
00:00:17:00:00:00:00:00 y
00:00:22:00:00:00:00:00 5
02:00:30:00:00:00:00:00 }
